2018-10-11 22:39:41,339 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-BT03611-1539257979380-0-1, CamelFileAbsolute=false, CamelFileAbsolutePath=D:\Learn\udemy\Camel\data\input2\file3.txt, CamelFileLastModified=1539257944576, CamelFileLength=17, CamelFileName=file3.txt, CamelFileNameConsumed=file3.txt, CamelFileNameOnly=file3.txt, CamelFileParent=data\input2, CamelFilePath=data\input2\file3.txt, CamelFileRelativePath=file3.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file3.txt]]]
2018-10-11 22:39:41,355 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-BT03611-1539257979380-0-3, CamelFileAbsolute=false, CamelFileAbsolutePath=D:\Learn\udemy\Camel\data\input\file2.txt, CamelFileLastModified=1539177256387, CamelFileLength=5, CamelFileName=file2.txt, CamelFileNameConsumed=file2.txt, CamelFileNameOnly=file2.txt, CamelFileParent=data\input, CamelFilePath=data\input\file2.txt, CamelFileRelativePath=file2.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file2.txt]]]
2018-10-11 22:39:41,355 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-BT03611-1539257979380-0-4, CamelFileAbsolute=false, CamelFileAbsolutePath=D:\Learn\udemy\Camel\data\input2\file4.txt, CamelFileLastModified=1539257965768, CamelFileLength=21, CamelFileName=file4.txt, CamelFileNameConsumed=file4.txt, CamelFileNameOnly=file4.txt, CamelFileParent=data\input2, CamelFilePath=data\input2\file4.txt, CamelFileRelativePath=file4.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file4.txt]]]
2018-10-11 22:39:45,302 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2018-10-11 22:39:45,302 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 2 routes (timeout 300 seconds)
2018-10-11 22:39:45,340 | INFO | DefaultShutdownStrategy.java 671 | Route: route2 shutdown complete, was consuming from: file://data/input2?noop=true
2018-10-11 22:39:45,340 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2018-10-11 22:39:45,340 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 2 routes completed in 0 seconds
2018-10-11 22:39:45,371 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 5.702 seconds
2018-10-11 22:39:45,371 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.069 seconds
